TemplateType=fptcustomcustom,Version=2019.0127,TemplateSignature=T1VURVJXRUFSLEJMQVpFUg==,上3行は Amazon.com 記入用です。上3行は変更または削除しないでください。.,,,,,,,,,,,,,,,,,,,,,,,画像,,,,,,,,バリエーション,,,,商品基本情報,,,,,,,,,,,商品検索情報,,,,,,,,,,,,,,,,推奨ブラウズノード別の情報,出品情報,,,,,,,,,,,,,,,,,,,,,,,
feed_product_type,出品者SKU,ブランド名,商品名,商品コード(JANコード等),商品コードのタイプ,表地素材,推奨ブラウズノード,サイズ,カラー,カラーマップ,対象年齢・性別,サイズマップ,在庫数,商品の販売価格,商品メイン画像URL,素材構成,素材構成,素材構成,素材構成,素材構成,素材構成,素材構成,素材構成,素材構成,素材構成,商品のサブ画像URL,商品のサブ画像URL,商品のサブ画像URL,商品のサブ画像URL,商品のサブ画像URL,商品のサブ画像URL,商品のサブ画像URL,商品のサブ画像URL,親子指定,親商品のSKU(商品管理番号),親子関係のタイプ,バリエーションテーマ,アップデート・削除,メーカー型番,商品説明文,ヒールのタイプ,留め具のタイプ,モデル年(発売年・発表年),inner_material_type1,inner_material_type2,inner_material_type3,inner_material_type4,inner_material_type5,商品説明の箇条書き,商品説明の箇条書き,商品説明の箇条書き,商品説明の箇条書き,商品説明の箇条書き,検索キーワード,ライフスタイル,ライフスタイル,スタイルキーワード,シーズン,プラチナキーワード,プラチナキーワード,プラチナキーワード,プラチナキーワード,プラチナキーワード,コート・ワンピース・チュニック着丈,material_type,出荷作業日数,商品のコンディション,商品のコンディション説明,ポイント,セール時ポイント,商品の公開日,予約商品の販売開始日,メーカー希望価格,使用しない支払い方法,配送日時指定SKUリスト,セール価格,セール開始日,セール終了日,商品の入荷予定日,最大注文個数,ギフトメッセージ,ギフト包装,メーカー製造中止,配送パターン,販売形態(並行輸入品),item_package_quantity,廃盤日,販売開始日,商品タックスコード
feed_product_type,item_sku,brand_name,item_name,external_product_id,external_product_id_type,outer_material_type,recommended_browse_nodes,size_name,color_name,color_map,department_name,size_map,quantity,standard_price,main_image_url,material_composition1,material_composition2,material_composition3,material_composition4,material_composition5,material_composition6,material_composition7,material_composition8,material_composition9,material_composition10,other_image_url1,other_image_url2,other_image_url3,other_image_url4,other_image_url5,other_image_url6,other_image_url7,other_image_url8,parent_child,parent_sku,relationship_type,variation_theme,update_delete,part_number,product_description,heel_type,closure_type,model_year,inner_material_type1,inner_material_type2,inner_material_type3,inner_material_type4,inner_material_type5,bullet_point1,bullet_point2,bullet_point3,bullet_point4,bullet_point5,generic_keywords,lifestyle1,lifestyle2,style_keywords,seasons,platinum_keywords1,platinum_keywords2,platinum_keywords3,platinum_keywords4,platinum_keywords5,specific_uses_keywords,material_type,fulfillment_latency,condition_type,condition_note,standard_price_points,sale_price_points,product_site_launch_date,merchant_release_date,list_price,optional_payment_type_exclusion,delivery_schedule_group_id,sale_price,sale_from_date,sale_end_date,restock_date,max_order_quantity,offering_can_be_gift_messaged,offering_can_be_giftwrapped,is_discontinued_by_manufacturer,merchant_shipping_group_name,distribution_designation,item_package_quantity,offering_end_date,offering_start_date,product_tax_code
outerwear,PAT02JK,Patagonia,Patagonia Organic Cotton Quilt Snap-T Pullover Sweatshirt - Women's    , ,UPC, ,2131480051, , , ,レディーズ, , , ,,,,,,,,,,,,,,,,,,,,parent, , ,SizeColor,Update,, ,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,テスト,JP Parallel Import,,,,
outerwear,PAT02JK-BIRWHIYL-XS,Patagonia,Patagonia Organic Cotton Quilt Snap-T Pullover Sweatshirt - Women's Birch White/Resin Yellow XS,191743584220.0,UPC,"[face fabric] 79% organic cotton, 21% polyester, [cuffs, hem] 99% organic cotton, 1% spandex, [pocket, placket, inner collar] 100% nylon, DWR treatment",2131480051,XS,Birch White/Resin Yellow,Birch White/Resin Yellow,レディーズ,XS,1.0,30731.25,,,,,,,,,,,,,,,,,,,,child,PAT02JK,Variation,SizeColor,Update,,"Patagonia is one of the most popular brands around today for a reasonthey make good stuff. And the Patagonia Women's Organic Cotton Quilt Snap-T Pullover Sweatshirt is one of the best things they make. There's a reason its light-wearing comfort and easy warmth stick around season after season. Made from a soft organic cotton blend, this pullover sports a classic diamond quilted pattern that also works as an effective heat-trapping system, letting you wear it alone to keep cozy on the couch or throw it on as a layer for your next winter adventure. Keep the cold out on fall hikes or summer nights around the campfire with a buttoned stand up collar and cuffs at the hip and sleeves. A buttoned chest pocket adds detailing and convenient storage for smaller items.
 - Get trusted comfort with this soft and light Patagonia classic
 - Diamond quilted pattern showcases a classic design and keeps heat in
 - High stand up collar has button snaps for versatile wearing
 - Accented pocket holds smaller items and adds detail
 - Cuffs on sleeves and waist keep cold out on chilly fall nights
 - Get trusted comfort with this soft and light Patagonia classic
 - Diamond quilted pattern showcases a classic design and keeps heat in
 - High stand up collar has button snaps for versatile wearing
 - Accented pocket holds smaller items and adds detail
 - Cuffs on sleeves and waist keep cold out on chilly fall nights",,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,テスト,JP Parallel Import,,,,
outerwear,PAT02JK-BIRWHIYL-S,Patagonia,Patagonia Organic Cotton Quilt Snap-T Pullover Sweatshirt - Women's Birch White/Resin Yellow S, ,UPC,"[face fabric] 79% organic cotton, 21% polyester, [cuffs, hem] 99% organic cotton, 1% spandex, [pocket, placket, inner collar] 100% nylon, DWR treatment",2131480051,S,Birch White/Resin Yellow,Birch White/Resin Yellow,レディーズ,S,1.0,30731.25,,,,,,,,,,,,,,,,,,,,child,PAT02JK,Variation,SizeColor,Update,,"Patagonia is one of the most popular brands around today for a reasonthey make good stuff. And the Patagonia Women's Organic Cotton Quilt Snap-T Pullover Sweatshirt is one of the best things they make. There's a reason its light-wearing comfort and easy warmth stick around season after season. Made from a soft organic cotton blend, this pullover sports a classic diamond quilted pattern that also works as an effective heat-trapping system, letting you wear it alone to keep cozy on the couch or throw it on as a layer for your next winter adventure. Keep the cold out on fall hikes or summer nights around the campfire with a buttoned stand up collar and cuffs at the hip and sleeves. A buttoned chest pocket adds detailing and convenient storage for smaller items.
 - Get trusted comfort with this soft and light Patagonia classic
 - Diamond quilted pattern showcases a classic design and keeps heat in
 - High stand up collar has button snaps for versatile wearing
 - Accented pocket holds smaller items and adds detail
 - Cuffs on sleeves and waist keep cold out on chilly fall nights
 - Get trusted comfort with this soft and light Patagonia classic
 - Diamond quilted pattern showcases a classic design and keeps heat in
 - High stand up collar has button snaps for versatile wearing
 - Accented pocket holds smaller items and adds detail
 - Cuffs on sleeves and waist keep cold out on chilly fall nights",,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,テスト,JP Parallel Import,,,,
outerwear,PAT02JK-BIRWHIYL-M,Patagonia,Patagonia Organic Cotton Quilt Snap-T Pullover Sweatshirt - Women's Birch White/Resin Yellow M,191743584251.0,UPC,"[face fabric] 79% organic cotton, 21% polyester, [cuffs, hem] 99% organic cotton, 1% spandex, [pocket, placket, inner collar] 100% nylon, DWR treatment",2131480051,M,Birch White/Resin Yellow,Birch White/Resin Yellow,レディーズ,M,1.0,30731.25,,,,,,,,,,,,,,,,,,,,child,PAT02JK,Variation,SizeColor,Update,,"Patagonia is one of the most popular brands around today for a reasonthey make good stuff. And the Patagonia Women's Organic Cotton Quilt Snap-T Pullover Sweatshirt is one of the best things they make. There's a reason its light-wearing comfort and easy warmth stick around season after season. Made from a soft organic cotton blend, this pullover sports a classic diamond quilted pattern that also works as an effective heat-trapping system, letting you wear it alone to keep cozy on the couch or throw it on as a layer for your next winter adventure. Keep the cold out on fall hikes or summer nights around the campfire with a buttoned stand up collar and cuffs at the hip and sleeves. A buttoned chest pocket adds detailing and convenient storage for smaller items.
 - Get trusted comfort with this soft and light Patagonia classic
 - Diamond quilted pattern showcases a classic design and keeps heat in
 - High stand up collar has button snaps for versatile wearing
 - Accented pocket holds smaller items and adds detail
 - Cuffs on sleeves and waist keep cold out on chilly fall nights
 - Get trusted comfort with this soft and light Patagonia classic
 - Diamond quilted pattern showcases a classic design and keeps heat in
 - High stand up collar has button snaps for versatile wearing
 - Accented pocket holds smaller items and adds detail
 - Cuffs on sleeves and waist keep cold out on chilly fall nights",,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,テスト,JP Parallel Import,,,,
outerwear,PAT02JK-BIRWHIYL-L,Patagonia,Patagonia Organic Cotton Quilt Snap-T Pullover Sweatshirt - Women's Birch White/Resin Yellow L,191743584275.0,UPC,"[face fabric] 79% organic cotton, 21% polyester, [cuffs, hem] 99% organic cotton, 1% spandex, [pocket, placket, inner collar] 100% nylon, DWR treatment",2131480051,L,Birch White/Resin Yellow,Birch White/Resin Yellow,レディーズ,L,1.0,30731.25,,,,,,,,,,,,,,,,,,,,child,PAT02JK,Variation,SizeColor,Update,,"Patagonia is one of the most popular brands around today for a reasonthey make good stuff. And the Patagonia Women's Organic Cotton Quilt Snap-T Pullover Sweatshirt is one of the best things they make. There's a reason its light-wearing comfort and easy warmth stick around season after season. Made from a soft organic cotton blend, this pullover sports a classic diamond quilted pattern that also works as an effective heat-trapping system, letting you wear it alone to keep cozy on the couch or throw it on as a layer for your next winter adventure. Keep the cold out on fall hikes or summer nights around the campfire with a buttoned stand up collar and cuffs at the hip and sleeves. A buttoned chest pocket adds detailing and convenient storage for smaller items.
 - Get trusted comfort with this soft and light Patagonia classic
 - Diamond quilted pattern showcases a classic design and keeps heat in
 - High stand up collar has button snaps for versatile wearing
 - Accented pocket holds smaller items and adds detail
 - Cuffs on sleeves and waist keep cold out on chilly fall nights
 - Get trusted comfort with this soft and light Patagonia classic
 - Diamond quilted pattern showcases a classic design and keeps heat in
 - High stand up collar has button snaps for versatile wearing
 - Accented pocket holds smaller items and adds detail
 - Cuffs on sleeves and waist keep cold out on chilly fall nights",,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,テスト,JP Parallel Import,,,,
outerwear,PAT02JK-BIRWHIYL-XL,Patagonia,Patagonia Organic Cotton Quilt Snap-T Pullover Sweatshirt - Women's Birch White/Resin Yellow XL,191743584305.0,UPC,"[face fabric] 79% organic cotton, 21% polyester, [cuffs, hem] 99% organic cotton, 1% spandex, [pocket, placket, inner collar] 100% nylon, DWR treatment",2131480051,XL,Birch White/Resin Yellow,Birch White/Resin Yellow,レディーズ,XL,1.0,30731.25,,,,,,,,,,,,,,,,,,,,child,PAT02JK,Variation,SizeColor,Update,,"Patagonia is one of the most popular brands around today for a reasonthey make good stuff. And the Patagonia Women's Organic Cotton Quilt Snap-T Pullover Sweatshirt is one of the best things they make. There's a reason its light-wearing comfort and easy warmth stick around season after season. Made from a soft organic cotton blend, this pullover sports a classic diamond quilted pattern that also works as an effective heat-trapping system, letting you wear it alone to keep cozy on the couch or throw it on as a layer for your next winter adventure. Keep the cold out on fall hikes or summer nights around the campfire with a buttoned stand up collar and cuffs at the hip and sleeves. A buttoned chest pocket adds detailing and convenient storage for smaller items.
 - Get trusted comfort with this soft and light Patagonia classic
 - Diamond quilted pattern showcases a classic design and keeps heat in
 - High stand up collar has button snaps for versatile wearing
 - Accented pocket holds smaller items and adds detail
 - Cuffs on sleeves and waist keep cold out on chilly fall nights
 - Get trusted comfort with this soft and light Patagonia classic
 - Diamond quilted pattern showcases a classic design and keeps heat in
 - High stand up collar has button snaps for versatile wearing
 - Accented pocket holds smaller items and adds detail
 - Cuffs on sleeves and waist keep cold out on chilly fall nights",,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,テスト,JP Parallel Import,,,,
outerwear,PAT02JK-CEL-XS,Patagonia,Patagonia Organic Cotton Quilt Snap-T Pullover Sweatshirt - Women's Celadon XS,191743579080.0,UPC,"[face fabric] 79% organic cotton, 21% polyester, [cuffs, hem] 99% organic cotton, 1% spandex, [pocket, placket, inner collar] 100% nylon, DWR treatment",2131480051,XS,Celadon,Celadon,レディーズ,XS,1.0,30731.25,,,,,,,,,,,,,,,,,,,,child,PAT02JK,Variation,SizeColor,Update,,"Patagonia is one of the most popular brands around today for a reasonthey make good stuff. And the Patagonia Women's Organic Cotton Quilt Snap-T Pullover Sweatshirt is one of the best things they make. There's a reason its light-wearing comfort and easy warmth stick around season after season. Made from a soft organic cotton blend, this pullover sports a classic diamond quilted pattern that also works as an effective heat-trapping system, letting you wear it alone to keep cozy on the couch or throw it on as a layer for your next winter adventure. Keep the cold out on fall hikes or summer nights around the campfire with a buttoned stand up collar and cuffs at the hip and sleeves. A buttoned chest pocket adds detailing and convenient storage for smaller items.
 - Get trusted comfort with this soft and light Patagonia classic
 - Diamond quilted pattern showcases a classic design and keeps heat in
 - High stand up collar has button snaps for versatile wearing
 - Accented pocket holds smaller items and adds detail
 - Cuffs on sleeves and waist keep cold out on chilly fall nights
 - Get trusted comfort with this soft and light Patagonia classic
 - Diamond quilted pattern showcases a classic design and keeps heat in
 - High stand up collar has button snaps for versatile wearing
 - Accented pocket holds smaller items and adds detail
 - Cuffs on sleeves and waist keep cold out on chilly fall nights",,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,テスト,JP Parallel Import,,,,
outerwear,PAT02JK-CEL-S,Patagonia,Patagonia Organic Cotton Quilt Snap-T Pullover Sweatshirt - Women's Celadon S, ,UPC,"[face fabric] 79% organic cotton, 21% polyester, [cuffs, hem] 99% organic cotton, 1% spandex, [pocket, placket, inner collar] 100% nylon, DWR treatment",2131480051,S,Celadon,Celadon,レディーズ,S,1.0,30731.25,,,,,,,,,,,,,,,,,,,,child,PAT02JK,Variation,SizeColor,Update,,"Patagonia is one of the most popular brands around today for a reasonthey make good stuff. And the Patagonia Women's Organic Cotton Quilt Snap-T Pullover Sweatshirt is one of the best things they make. There's a reason its light-wearing comfort and easy warmth stick around season after season. Made from a soft organic cotton blend, this pullover sports a classic diamond quilted pattern that also works as an effective heat-trapping system, letting you wear it alone to keep cozy on the couch or throw it on as a layer for your next winter adventure. Keep the cold out on fall hikes or summer nights around the campfire with a buttoned stand up collar and cuffs at the hip and sleeves. A buttoned chest pocket adds detailing and convenient storage for smaller items.
 - Get trusted comfort with this soft and light Patagonia classic
 - Diamond quilted pattern showcases a classic design and keeps heat in
 - High stand up collar has button snaps for versatile wearing
 - Accented pocket holds smaller items and adds detail
 - Cuffs on sleeves and waist keep cold out on chilly fall nights
 - Get trusted comfort with this soft and light Patagonia classic
 - Diamond quilted pattern showcases a classic design and keeps heat in
 - High stand up collar has button snaps for versatile wearing
 - Accented pocket holds smaller items and adds detail
 - Cuffs on sleeves and waist keep cold out on chilly fall nights",,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,テスト,JP Parallel Import,,,,
outerwear,PAT02JK-CEL-M,Patagonia,Patagonia Organic Cotton Quilt Snap-T Pullover Sweatshirt - Women's Celadon M,191743579127.0,UPC,"[face fabric] 79% organic cotton, 21% polyester, [cuffs, hem] 99% organic cotton, 1% spandex, [pocket, placket, inner collar] 100% nylon, DWR treatment",2131480051,M,Celadon,Celadon,レディーズ,M,1.0,30731.25,,,,,,,,,,,,,,,,,,,,child,PAT02JK,Variation,SizeColor,Update,,"Patagonia is one of the most popular brands around today for a reasonthey make good stuff. And the Patagonia Women's Organic Cotton Quilt Snap-T Pullover Sweatshirt is one of the best things they make. There's a reason its light-wearing comfort and easy warmth stick around season after season. Made from a soft organic cotton blend, this pullover sports a classic diamond quilted pattern that also works as an effective heat-trapping system, letting you wear it alone to keep cozy on the couch or throw it on as a layer for your next winter adventure. Keep the cold out on fall hikes or summer nights around the campfire with a buttoned stand up collar and cuffs at the hip and sleeves. A buttoned chest pocket adds detailing and convenient storage for smaller items.
 - Get trusted comfort with this soft and light Patagonia classic
 - Diamond quilted pattern showcases a classic design and keeps heat in
 - High stand up collar has button snaps for versatile wearing
 - Accented pocket holds smaller items and adds detail
 - Cuffs on sleeves and waist keep cold out on chilly fall nights
 - Get trusted comfort with this soft and light Patagonia classic
 - Diamond quilted pattern showcases a classic design and keeps heat in
 - High stand up collar has button snaps for versatile wearing
 - Accented pocket holds smaller items and adds detail
 - Cuffs on sleeves and waist keep cold out on chilly fall nights",,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,テスト,JP Parallel Import,,,,
outerwear,PAT02JK-CEL-L,Patagonia,Patagonia Organic Cotton Quilt Snap-T Pullover Sweatshirt - Women's Celadon L,191743579158.0,UPC,"[face fabric] 79% organic cotton, 21% polyester, [cuffs, hem] 99% organic cotton, 1% spandex, [pocket, placket, inner collar] 100% nylon, DWR treatment",2131480051,L,Celadon,Celadon,レディーズ,L,1.0,30731.25,,,,,,,,,,,,,,,,,,,,child,PAT02JK,Variation,SizeColor,Update,,"Patagonia is one of the most popular brands around today for a reasonthey make good stuff. And the Patagonia Women's Organic Cotton Quilt Snap-T Pullover Sweatshirt is one of the best things they make. There's a reason its light-wearing comfort and easy warmth stick around season after season. Made from a soft organic cotton blend, this pullover sports a classic diamond quilted pattern that also works as an effective heat-trapping system, letting you wear it alone to keep cozy on the couch or throw it on as a layer for your next winter adventure. Keep the cold out on fall hikes or summer nights around the campfire with a buttoned stand up collar and cuffs at the hip and sleeves. A buttoned chest pocket adds detailing and convenient storage for smaller items.
 - Get trusted comfort with this soft and light Patagonia classic
 - Diamond quilted pattern showcases a classic design and keeps heat in
 - High stand up collar has button snaps for versatile wearing
 - Accented pocket holds smaller items and adds detail
 - Cuffs on sleeves and waist keep cold out on chilly fall nights
 - Get trusted comfort with this soft and light Patagonia classic
 - Diamond quilted pattern showcases a classic design and keeps heat in
 - High stand up collar has button snaps for versatile wearing
 - Accented pocket holds smaller items and adds detail
 - Cuffs on sleeves and waist keep cold out on chilly fall nights",,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,テスト,JP Parallel Import,,,,
outerwear,PAT02JK-DRIGREPU-XS,Patagonia,Patagonia Organic Cotton Quilt Snap-T Pullover Sweatshirt - Women's Drifter Grey/Pipe Purple XS,191743577680.0,UPC,"[face fabric] 79% organic cotton, 21% polyester, [cuffs, hem] 99% organic cotton, 1% spandex, [pocket, placket, inner collar] 100% nylon, DWR treatment",2131480051,XS,Drifter Grey/Pipe Purple,Drifter Grey/Pipe Purple,レディーズ,XS,1.0,30731.25,,,,,,,,,,,,,,,,,,,,child,PAT02JK,Variation,SizeColor,Update,,"Patagonia is one of the most popular brands around today for a reasonthey make good stuff. And the Patagonia Women's Organic Cotton Quilt Snap-T Pullover Sweatshirt is one of the best things they make. There's a reason its light-wearing comfort and easy warmth stick around season after season. Made from a soft organic cotton blend, this pullover sports a classic diamond quilted pattern that also works as an effective heat-trapping system, letting you wear it alone to keep cozy on the couch or throw it on as a layer for your next winter adventure. Keep the cold out on fall hikes or summer nights around the campfire with a buttoned stand up collar and cuffs at the hip and sleeves. A buttoned chest pocket adds detailing and convenient storage for smaller items.
 - Get trusted comfort with this soft and light Patagonia classic
 - Diamond quilted pattern showcases a classic design and keeps heat in
 - High stand up collar has button snaps for versatile wearing
 - Accented pocket holds smaller items and adds detail
 - Cuffs on sleeves and waist keep cold out on chilly fall nights
 - Get trusted comfort with this soft and light Patagonia classic
 - Diamond quilted pattern showcases a classic design and keeps heat in
 - High stand up collar has button snaps for versatile wearing
 - Accented pocket holds smaller items and adds detail
 - Cuffs on sleeves and waist keep cold out on chilly fall nights",,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,テスト,JP Parallel Import,,,,
outerwear,PAT02JK-DRIGREPU-S,Patagonia,Patagonia Organic Cotton Quilt Snap-T Pullover Sweatshirt - Women's Drifter Grey/Pipe Purple S, ,UPC,"[face fabric] 79% organic cotton, 21% polyester, [cuffs, hem] 99% organic cotton, 1% spandex, [pocket, placket, inner collar] 100% nylon, DWR treatment",2131480051,S,Drifter Grey/Pipe Purple,Drifter Grey/Pipe Purple,レディーズ,S,1.0,30731.25,,,,,,,,,,,,,,,,,,,,child,PAT02JK,Variation,SizeColor,Update,,"Patagonia is one of the most popular brands around today for a reasonthey make good stuff. And the Patagonia Women's Organic Cotton Quilt Snap-T Pullover Sweatshirt is one of the best things they make. There's a reason its light-wearing comfort and easy warmth stick around season after season. Made from a soft organic cotton blend, this pullover sports a classic diamond quilted pattern that also works as an effective heat-trapping system, letting you wear it alone to keep cozy on the couch or throw it on as a layer for your next winter adventure. Keep the cold out on fall hikes or summer nights around the campfire with a buttoned stand up collar and cuffs at the hip and sleeves. A buttoned chest pocket adds detailing and convenient storage for smaller items.
 - Get trusted comfort with this soft and light Patagonia classic
 - Diamond quilted pattern showcases a classic design and keeps heat in
 - High stand up collar has button snaps for versatile wearing
 - Accented pocket holds smaller items and adds detail
 - Cuffs on sleeves and waist keep cold out on chilly fall nights
 - Get trusted comfort with this soft and light Patagonia classic
 - Diamond quilted pattern showcases a classic design and keeps heat in
 - High stand up collar has button snaps for versatile wearing
 - Accented pocket holds smaller items and adds detail
 - Cuffs on sleeves and waist keep cold out on chilly fall nights",,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,テスト,JP Parallel Import,,,,
